City,County,Year,PovPop,Pov100,Pov200,PovPCT200,PovPCT100,Source,,
Pacifica,San Mateo County,2012,"37,246","1,724","4,394",0.118,0.046,ACS_5YR_C17002,,
Portola Valley,San Mateo County,2012,"4,329",97,192,0.0444,0.022,ACS_5YR_C17002,,
Redwood City,San Mateo County,2012,"75,652","6,886","21,574",0.2852,0.091,ACS_5YR_C17002,,
San Bruno,San Mateo County,2012,"40,973","2,797","6,747",0.1647,0.068,ACS_5YR_C17002,,
San Carlos,San Mateo County,2012,"28,322",962,"2,716",0.0959,0.034,ACS_5YR_C17002,,
San Mateo,San Mateo County,2012,"96,386","6,219","17,517",0.1817,0.065,ACS_5YR_C17002,,
South San Francisco,San Mateo County,2012,"63,353","4,407","14,044",0.2217,0.07,ACS_5YR_C17002,,
Woodside,San Mateo County,2012,"5,329",217,351,0.0659,0.041,ACS_5YR_C17002,,
Campbell,Santa Clara County,2012,"39,239","2,643","7,706",0.1964,0.067,ACS_5YR_C17002,,
Cupertino,Santa Clara County,2012,"58,118","2,413","4,900",0.0843,0.042,ACS_5YR_C17002,,
Gilroy,Santa Clara County,2012,"48,302","6,342","15,061",0.3118,0.131,ACS_5YR_C17002,,
Los Altos,Santa Clara County,2012,"28,892",594,"1,491",0.0516,0.021,ACS_5YR_C17002,,
Los Altos Hills,Santa Clara County,2012,"8,001",361,620,0.0775,0.045,ACS_5YR_C17002,,
Los Gatos,Santa Clara County,2012,"29,048","1,571","2,870",0.0988,0.054,ACS_5YR_C17002,,
Milpitas,Santa Clara County,2012,"63,679","3,958","11,035",0.1733,0.062,ACS_5YR_C17002,,
Monte Sereno,Santa Clara County,2012,"3,383",58,178,0.0526,0.017,ACS_5YR_C17002,,
Morgan Hill,Santa Clara County,2012,"37,758","4,488","9,261",0.2453,0.119,ACS_5YR_C17002,,
Mountain View,Santa Clara County,2012,"74,106","6,056","16,353",0.2207,0.082,ACS_5YR_C17002,,
Palo Alto,Santa Clara County,2012,"64,064","3,147","7,165",0.1118,0.049,ACS_5YR_C17002,,
San Jose,Santa Clara County,2012,"944,460","110,927","256,586",0.2717,0.117,ACS_5YR_C17002,,
Santa Clara,Santa Clara County,2012,"112,940","10,158","23,967",0.2122,0.09,ACS_5YR_C17002,,
Saratoga,Santa Clara County,2012,"29,905","1,023","1,928",0.0645,0.034,ACS_5YR_C17002,,
Sunnyvale,Santa Clara County,2012,"140,497","10,080","24,524",0.1746,0.072,ACS_5YR_C17002,,
Benicia,Solano County,2012,"26,877","1,471","3,529",0.1313,0.055,ACS_5YR_C17002,,
Dixon,Solano County,2012,"18,198","1,607","4,118",0.2263,0.088,ACS_5YR_C17002,,
Fairfield,Solano County,2012,"99,408","12,833","27,928",0.2809,0.129,ACS_5YR_C17002,,
Rio Vista,Solano County,2012,"7,266",690,"1,627",0.2239,0.095,ACS_5YR_C17002,,
Suisun City,Solano County,2012,"27,997","3,355","7,891",0.2819,0.12,ACS_5YR_C17002,,
Vacaville,Solano County,2012,"83,446","7,258","17,624",0.2112,0.087,ACS_5YR_C17002,,
Vallejo,Solano County,2012,"115,154","18,441","37,939",0.3295,0.16,ACS_5YR_C17002,,
Cloverdale,Sonoma County,2012,"8,448",502,"2,070",0.245,0.059,ACS_5YR_C17002,,
Cotati,Sonoma County,2012,"7,241",933,"1,759",0.2429,0.129,ACS_5YR_C17002,,
Healdsburg,Sonoma County,2012,"11,208","1,281","4,130",0.3685,0.114,ACS_5YR_C17002,,
Petaluma,Sonoma County,2012,"57,393","5,200","12,659",0.2206,0.091,ACS_5YR_C17002,,
Rohnert Park,Sonoma County,2012,"40,729","5,205","13,197",0.324,0.128,ACS_5YR_C17002,,
Santa Rosa,Sonoma County,2012,"164,630","21,703","54,699",0.3323,0.132,ACS_5YR_C17002,,
Sebastopol,Sonoma County,2012,"7,251",555,"1,922",0.2651,0.077,ACS_5YR_C17002,,
Sonoma,Sonoma County,2012,"10,361",626,"1,889",0.1823,0.06,ACS_5YR_C17002,,
Windsor,Sonoma County,2012,"26,490","1,163","5,206",0.1965,0.044,ACS_5YR_C17002,,
